HTML|HTML5
CSS|CSS3,SASS,Less
API|API REST,RESTFUL,API RESTFUL,REST
SQL|MySql,Oracle,Microsoft Server,DBA,banco de dados,database,Postgress,Postgres,PSQL,SQL Server,Firebird
GIT|Github,GitLab
AWS|Amazon,AWSRabbit
NoSQL|mongodb
Javascript|Js
TypeScript|Ts
Java|
Jquery|
Bootstrap|
Buma|
Azure|
C#|
.Net|Net Core,.Net Core,ASP .Net,VB.Net
Soft Skills|lógica de programação,Scrum
Gerais|MVC,orientado a objetos,OOP
Idiomas|Inglês,Espanhol
PHP|
Laravel|
React|React.Js
Vue|Vue.js
Angular|
Jenkins|
Caché|
IRIS|
CachéXML|
Teste|Jest,JUnit
CI/CD|
Redux|
useContect|
Windows Service|
RPA|
Flutter|
Docker|
Elastic Search|
Solid|
C++|
Python|
Vuex|
ReduxBulma|
Node|NodeJs,Node.js
R|
Crystal Reports|
Figma|
Wordpress|Wp
Fluig|
Sequelize|
SpringBoot|
Magento|
Doctrine|
Symfony|
Lumen|
Servlet|
Microservices|
Selenium|
Entity|
Lua|
Unity|
Elixir|
Kotlin|
Arduino|
Raspberry Pi|
Go|
Ruby on Rails|
